admode nboctets nbopcodes opcode1 opcode2 nbdata data1 data2 data3 data4 data5 mnemonic
6 3 1 000000AC FFFFFFFF 2 4 6 -1 -1 -1 CPD
7 4 1 000000AC FFFFFFFF 3 4 5 6 -1 -1 CPD
9 2 1 000000AC FFFFFFFF 1 4 -1 -1 -1 -1 CPD
8 4 1 000000AC FFFFFFFF 3 4 5 6 -1 -1 CPD
1 3 1 0000008F FFFFFFFF 2 7 8 -1 -1 -1 CPS
2 2 1 0000009F FFFFFFFF 1 1 -1 -1 -1 -1 CPS
3 3 1 000000BF FFFFFFFF 2 2 3 -1 -1 -1 CPS
5 2 1 000000AF FFFFFFFF 1 4 -1 -1 -1 -1 CPS
6 3 1 000000AF FFFFFFFF 2 4 6 -1 -1 -1 CPS
7 4 1 000000AF FFFFFFFF 3 4 5 6 -1 -1 CPS
9 2 1 000000AF FFFFFFFF 1 4 -1 -1 -1 -1 CPS
8 4 1 000000AF FFFFFFFF 3 4 5 6 -1 -1 CPS
1 3 1 0000008E FFFFFFFF 2 7 8 -1 -1 -1 CPX
2 2 1 0000009E FFFFFFFF 1 1 -1 -1 -1 -1 CPX
3 3 1 000000BE FFFFFFFF 2 2 3 -1 -1 -1 CPX
5 2 1 000000AE FFFFFFFF 1 4 -1 -1 -1 -1 CPX
6 3 1 000000AE FFFFFFFF 2 4 6 -1 -1 -1 CPX
7 4 1 000000AE FFFFFFFF 3 4 5 6 -1 -1 CPX
9 2 1 000000AE FFFFFFFF 1 4 -1 -1 -1 -1 CPX
8 4 1 000000AE FFFFFFFF 3 4 5 6 -1 -1 CPX
1 3 1 0000008D FFFFFFFF 2 7 8 -1 -1 -1 CPY
2 2 1 0000009D FFFFFFFF 1 1 -1 -1 -1 -1 CPY
3 3 1 000000BD FFFFFFFF 2 2 3 -1 -1 -1 CPY
5 2 1 000000AD FFFFFFFF 1 4 -1 -1 -1 -1 CPY
6 3 1 000000AD FFFFFFFF 2 4 6 -1 -1 -1 CPY
7 4 1 000000AD FFFFFFFF 3 4 5 6 -1 -1 CPY
9 2 1 000000AD FFFFFFFF 1 4 -1 -1 -1 -1 CPY
8 4 1 000000AD FFFFFFFF 3 4 5 6 -1 -1 CPY
0 2 2 00000018 00000007 0 -1 -1 -1 -1 -1 DAA
4 3 1 00000004 FFFFFFFF 2 13 12 -1 -1 -1 DBEQ
4 3 1 00000004 FFFFFFFF 2 13 12 -1 -1 -1 DBNE
3 3 1 00000073 FFFFFFFF 2 2 3 -1 -1 -1 DEC
5 2 1 00000063 FFFFFFFF 1 4 -1 -1 -1 -1 DEC
6 3 1 00000063 FFFFFFFF 2 4 6 -1 -1 -1 DEC
7 4 1 00000063 FFFFFFFF 3 4 5 6 -1 -1 DEC
9 2 1 00000063 FFFFFFFF 1 4 -1 -1 -1 -1 DEC
8 4 1 00000063 FFFFFFFF 3 4 5 6 -1 -1 DEC
0 1 1 00000043 FFFFFFFF 0 -1 -1 -1 -1 -1 DECA
0 1 1 00000053 FFFFFFFF 0 -1 -1 -1 -1 -1 DECB
0 1 1 00000009 FFFFFFFF 0 -1 -1 -1 -1 -1 DEX
0 1 1 00000003 FFFFFFFF 0 -1 -1 -1 -1 -1 DEY
0 1 1 00000011 FFFFFFFF 0 -1 -1 -1 -1 -1 EDIV
0 2 2 00000018 00000014 0 -1 -1 -1 -1 -1 EDIVS
5 3 2 00000018 0000001A 1 4 -1 -1 -1 -1 EMAXD
6 4 2 00000018 0000001A 2 4 6 -1 -1 -1 EMAXD
7 5 2 00000018 0000001A 3 4 5 6 -1 -1 EMAXD
9 3 2 00000018 0000001A 1 4 -1 -1 -1 -1 EMAXD
8 5 2 00000018 0000001A 3 4 5 6 -1 -1 EMAXD
5 3 2 00000018 0000001E 1 4 -1 -1 -1 -1 EMAXM
6 4 2 00000018 0000001E 2 4 6 -1 -1 -1 EMAXM
7 5 2 00000018 0000001E 3 4 5 6 -1 -1 EMAXM
9 3 2 00000018 0000001E 1 4 -1 -1 -1 -1 EMAXM
8 5 2 00000018 0000001E 3 4 5 6 -1 -1 EMAXM
5 3 2 00000018 0000001B 1 4 -1 -1 -1 -1 EMIND
6 4 2 00000018 0000001B 2 4 6 -1 -1 -1 EMIND
7 5 2 00000018 0000001B 3 4 5 6 -1 -1 EMIND
9 3 2 00000018 0000001B 1 4 -1 -1 -1 -1 EMIND
8 5 2 00000018 0000001B 3 4 5 6 -1 -1 EMIND
5 3 2 00000018 0000001F 1 4 -1 -1 -1 -1 EMINM
6 4 2 00000018 0000001F 2 4 6 -1 -1 -1 EMINM
7 5 2 00000018 0000001F 3 4 5 6 -1 -1 EMINM
9 3 2 00000018 0000001F 1 4 -1 -1 -1 -1 EMINM
8 5 2 00000018 0000001F 3 4 5 6 -1 -1 EMINM
0 1 1 00000013 FFFFFFFF 0 -1 -1 -1 -1 -1 EMUL
0 2 2 00000018 00000013 0 -1 -1 -1 -1 -1 EMULS
1 2 1 00000088 FFFFFFFF 1 0 -1 -1 -1 -1 EORA
2 2 1 00000098 FFFFFFFF 1 1 -1 -1 -1 -1 EORA
3 3 1 000000B8 FFFFFFFF 2 2 3 -1 -1 -1 EORA
5 2 1 000000A8 FFFFFFFF 1 4 -1 -1 -1 -1 EORA
6 3 1 000000A8 FFFFFFFF 2 4 6 -1 -1 -1 EORA
7 4 1 000000A8 FFFFFFFF 3 4 5 6 -1 -1 EORA
9 2 1 000000A8 FFFFFFFF 1 4 -1 -1 -1 -1 EORA
8 4 1 000000A8 FFFFFFFF 3 4 5 6 -1 -1 EORA
1 2 1 000000C8 FFFFFFFF 1 0 -1 -1 -1 -1 EORB
2 2 1 000000D8 FFFFFFFF 1 1 -1 -1 -1 -1 EORB
3 3 1 000000F8 FFFFFFFF 2 2 3 -1 -1 -1 EORB
5 2 1 000000E8 FFFFFFFF 1 4 -1 -1 -1 -1 EORB
